"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 14 23:22:44 GMT 2022","Fri Oct 14 23:22:44 GMT 2022","660","chromium","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:24:05 GMT 2022","Fri Oct 14 23:24:08 GMT 2022","2539","webkit","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:24:01 GMT 2022","Fri Oct 14 23:24:04 GMT 2022","2844","webkit","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:23:27 GMT 2022","Fri Oct 14 23:23:31 GMT 2022","3615","firefox","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:24:10 GMT 2022","Fri Oct 14 23:24:12 GMT 2022","2040","webkit","example.spec.ts","","","","basic test without POM",""
"passed","Fri Oct 14 23:22:30 GMT 2022","Fri Oct 14 23:22:30 GMT 2022","365","chromium","api.example.spec.ts","","","","get inventory",""
"passed","Fri Oct 14 23:23:52 GMT 2022","Fri Oct 14 23:23:56 GMT 2022","3596","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"skipped","Fri Oct 14 23:23:39 GMT 2022","Fri Oct 14 23:23:39 GMT 2022","2","firefox","lighthouse.spec.ts","","","","Accessibility test",""
"passed","Fri Oct 14 23:22:45 GMT 2022","Fri Oct 14 23:22:47 GMT 2022","1496","chromium","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:22:34 GMT 2022","Fri Oct 14 23:22:41 GMT 2022","7377","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Fri Oct 14 23:24:08 GMT 2022","Fri Oct 14 23:24:10 GMT 2022","2165","webkit","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"skipped","Fri Oct 14 23:24:15 GMT 2022","Fri Oct 14 23:24:15 GMT 2022","2","webkit","lighthouse.spec.ts","","","","Accessibility test",""
"failed","Fri Oct 14 23:23:59 GMT 2022","Fri Oct 14 23:24:00 GMT 2022","1267","webkit","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:22:52 GMT 2022","Fri Oct 14 23:22:53 GMT 2022","947","chromium","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:23:09 GMT 2022","Fri Oct 14 23:23:13 GMT 2022","3923","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:24:12 GMT 2022","Fri Oct 14 23:24:14 GMT 2022","2169","webkit","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:22:50 GMT 2022","Fri Oct 14 23:22:51 GMT 2022","1222","chromium","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:23:36 GMT 2022","Fri Oct 14 23:23:37 GMT 2022","1485","firefox","example.spec.ts","","","","basic test without POM",""
"passed","Fri Oct 14 23:23:07 GMT 2022","Fri Oct 14 23:23:08 GMT 2022","369","firefox","api.example.spec.ts","","","","get inventory",""
"passed","Fri Oct 14 23:23:43 GMT 2022","Fri Oct 14 23:23:52 GMT 2022","9455","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:23:32 GMT 2022","Fri Oct 14 23:23:34 GMT 2022","2035","firefox","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:22:32 GMT 2022","Fri Oct 14 23:22:34 GMT 2022","1967","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:23:37 GMT 2022","Fri Oct 14 23:23:39 GMT 2022","1800","firefox","example.spec.ts","","","","Get Started doc intro",""
"failed","Fri Oct 14 23:23:23 GMT 2022","Fri Oct 14 23:23:26 GMT 2022","3758","firefox","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:23:41 GMT 2022","Fri Oct 14 23:23:41 GMT 2022","370","webkit","api.example.spec.ts","","","","get inventory",""
"passed","Fri Oct 14 23:22:48 GMT 2022","Fri Oct 14 23:22:50 GMT 2022","1598","chromium","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:23:13 GMT 2022","Fri Oct 14 23:23:16 GMT 2022","2999","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Fri Oct 14 23:22:53 GMT 2022","Fri Oct 14 23:23:07 GMT 2022","13396","chromium","lighthouse.spec.ts","","","","Accessibility test",""
"passed","Fri Oct 14 23:23:34 GMT 2022","Fri Oct 14 23:23:36 GMT 2022","1604","firefox","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:22:51 GMT 2022","Fri Oct 14 23:22:52 GMT 2022","1186","chromium","example.spec.ts","","","","basic test without POM",""
