"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 23:37:13 GMT 2022","Fri Oct 14 23:37:15 GMT 2022","2087","webkit","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:35:54 GMT 2022","Fri Oct 14 23:36:07 GMT 2022","13215","chromium","lighthouse.spec.ts","","","","Accessibility test",""
"passed","Fri Oct 14 23:37:06 GMT 2022","Fri Oct 14 23:37:09 GMT 2022","2619","webkit","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:35:35 GMT 2022","Fri Oct 14 23:35:42 GMT 2022","6592","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Fri Oct 14 23:37:09 GMT 2022","Fri Oct 14 23:37:11 GMT 2022","2065","webkit","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:36:09 GMT 2022","Fri Oct 14 23:36:13 GMT 2022","3585","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:36:36 GMT 2022","Fri Oct 14 23:36:38 GMT 2022","1999","firefox","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:37:02 GMT 2022","Fri Oct 14 23:37:05 GMT 2022","2834","webkit","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"failed","Fri Oct 14 23:35:44 GMT 2022","Fri Oct 14 23:35:45 GMT 2022","719","chromium","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:36:38 GMT 2022","Fri Oct 14 23:36:40 GMT 2022","1614","firefox","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:35:52 GMT 2022","Fri Oct 14 23:35:53 GMT 2022","1048","chromium","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:35:31 GMT 2022","Fri Oct 14 23:35:31 GMT 2022","357","chromium","api.example.spec.ts","","","","get inventory",""
"skipped","Fri Oct 14 23:36:43 GMT 2022","Fri Oct 14 23:36:43 GMT 2022","2","firefox","lighthouse.spec.ts","","","","Accessibility test",""
"passed","Fri Oct 14 23:36:40 GMT 2022","Fri Oct 14 23:36:41 GMT 2022","1727","firefox","example.spec.ts","","","","basic test without POM",""
"passed","Fri Oct 14 23:36:26 GMT 2022","Fri Oct 14 23:36:34 GMT 2022","8112","firefox","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:37:11 GMT 2022","Fri Oct 14 23:37:13 GMT 2022","1570","webkit","example.spec.ts","","","","basic test without POM",""
"passed","Fri Oct 14 23:36:08 GMT 2022","Fri Oct 14 23:36:08 GMT 2022","345","firefox","api.example.spec.ts","","","","get inventory",""
"failed","Fri Oct 14 23:37:00 GMT 2022","Fri Oct 14 23:37:01 GMT 2022","1257","webkit","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:35:46 GMT 2022","Fri Oct 14 23:35:47 GMT 2022","1518","chromium","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:36:45 GMT 2022","Fri Oct 14 23:36:45 GMT 2022","365","webkit","api.example.spec.ts","","","","get inventory",""
"passed","Fri Oct 14 23:35:48 GMT 2022","Fri Oct 14 23:35:50 GMT 2022","1667","chromium","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:35:50 GMT 2022","Fri Oct 14 23:35:51 GMT 2022","1199","chromium","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:36:41 GMT 2022","Fri Oct 14 23:36:43 GMT 2022","1776","firefox","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:36:53 GMT 2022","Fri Oct 14 23:36:57 GMT 2022","3599","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Fri Oct 14 23:35:51 GMT 2022","Fri Oct 14 23:35:52 GMT 2022","1120","chromium","example.spec.ts","","","","basic test without POM",""
"passed","Fri Oct 14 23:35:33 GMT 2022","Fri Oct 14 23:35:35 GMT 2022","2141","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:36:13 GMT 2022","Fri Oct 14 23:36:16 GMT 2022","2913","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"skipped","Fri Oct 14 23:37:15 GMT 2022","Fri Oct 14 23:37:15 GMT 2022","2","webkit","lighthouse.spec.ts","","","","Accessibility test",""
"failed","Fri Oct 14 23:36:22 GMT 2022","Fri Oct 14 23:36:26 GMT 2022","3733","firefox","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:36:46 GMT 2022","Fri Oct 14 23:36:53 GMT 2022","6786","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
